neighbourhood_cleansed,listing_count,listings_with_price,unique_host_count,median_price,average_price,average_rating,average_occupancy_proxy,average_occupancy_proxy_percentage
Ang Mo Kio,17,13,12,29.74,75.4,4.73,0.17115229653505237,17.12
Bedok,134,98,65,33.84,42.33,4.71,0.315129830300552,31.51
Bishan,17,11,11,25.06,126.15,4.39,0.36373892022562454,36.37
Bukit Batok,21,18,15,32.46,43.24,4.29,0.17638617090671885,17.64
Bukit Merah,192,164,53,91.15,193.53,4.57,0.18819920091324202,18.82
Bukit Panjang,14,10,12,42.17,518.36,4.27,0.3060665362035225,30.61
Bukit Timah,39,30,23,32.16,83.8,4.76,0.25107130312609766,25.11
Choa Chu Kang,18,12,11,27.97,42.6,4.79,0.32511415525114157,32.51
Clementi,71,60,19,111.96,167.13,4.67,0.1164576500096469,11.65
Downtown Core,182,165,60,137.42,221.55,4.54,0.22000602137588438,22.0
Geylang,185,147,63,44.55,71.01,4.39,0.20858941132913733,20.86
Hougang,44,34,25,162.4,263.24,4.69,0.2828767123287671,28.29
Jurong East,33,27,9,98.88,88.52,4.71,0.1888750518887505,18.89
Jurong West,40,30,26,24.1,38.79,4.69,0.2656164383561644,26.56
Kallang,290,234,69,37.44,77.61,4.44,0.23854511100614076,23.85
Marine Parade,91,75,34,107.33,156.03,4.54,0.313864217973807,31.39
Museum,18,17,12,350.5,383.22,4.33,0.15722983257229833,15.72
Newton,54,42,21,32.25,220.85,4.56,0.2321664129883308,23.22
Novena,197,169,44,209.35,200.58,4.7,0.2378694110284403,23.79
Orchard,86,77,18,422.0,456.0,4.8,0.21395348837209302,21.4
Outram,274,193,40,145.0,184.28,4.53,0.2162983701629837,21.63
Pasir Ris,31,28,20,41.46,184.13,4.68,0.45682722050375607,45.68
Punggol,10,7,10,23.83,41.66,4.92,0.35178082191780824,35.18
Queenstown,162,139,35,153.89,195.48,4.49,0.31031625232538473,31.03
River Valley,404,395,35,230.37,273.78,4.48,0.14136036891360368,14.14
Rochor,283,253,55,155.0,326.65,4.43,0.237968923955661,23.8
Sembawang,10,7,5,45.03,45.54,4.49,0.1967123287671233,19.67
Serangoon,31,25,18,57.45,133.59,4.45,0.28555015466195316,28.56
Singapore River,145,138,25,184.88,270.47,4.61,0.1981483230987246,19.81
Southern Islands,21,19,9,421.0,639.95,4.81,0.21552511415525114,21.55
Tampines,25,18,12,24.78,44.56,4.7,0.34586301369863015,34.59
Tanglin,40,34,18,214.6,294.18,4.72,0.17027397260273971,17.03
Toa Payoh,15,13,12,92.59,170.93,4.29,0.22666666666666666,22.67
Woodlands,20,15,14,25.66,32.76,4.75,0.3171232876712329,31.71
Yishun,12,9,9,19.36,30.86,4.52,0.20410958904109588,20.41
