neighbourhood_name,listing_count,unique_host_count,median_price,average_price,average_rating,average_occupancy_proxy_percentage,entire_home_share_percentage
Orchard,86,18,422.0,456.0,4.8,21.4,61.63
Southern Islands,21,9,421.0,639.95,4.82,21.55,57.14
Museum,18,12,350.5,383.22,4.33,15.72,38.89
River Valley,404,35,230.37,273.78,4.48,14.14,73.02
Tanglin,40,18,214.6,294.18,4.72,17.03,65.0
Novena,197,44,209.35,200.58,4.7,23.79,74.11
Singapore River,145,25,184.89,270.47,4.61,19.81,37.93
Hougang,44,25,162.4,263.24,4.69,28.29,47.73
Rochor,283,55,155.0,326.65,4.43,23.8,23.67
Queenstown,162,35,153.89,195.48,4.49,31.03,41.98
Outram,274,40,145.0,184.28,4.53,21.63,10.95
Downtown Core,182,60,137.42,221.55,4.54,22.0,29.67
Clementi,71,19,111.96,167.13,4.67,11.65,71.83
Marine Parade,91,34,107.33,156.03,4.54,31.39,36.26
Jurong East,33,9,98.88,88.52,4.71,18.89,60.61
Toa Payoh,15,12,92.59,170.93,4.29,22.67,53.33
Bukit Merah,192,53,91.15,193.53,4.57,18.82,48.44
Serangoon,31,18,57.45,133.59,4.45,28.56,25.81
Sembawang,10,5,45.03,45.54,4.49,19.67,20.0
Geylang,185,63,44.55,71.01,4.39,20.86,14.59
Bukit Panjang,14,12,42.17,518.36,4.27,30.61,21.43
Pasir Ris,31,20,41.46,184.13,4.68,45.68,32.26
Kallang,290,69,37.44,77.61,4.44,23.85,15.17
Bedok,134,65,33.85,42.33,4.71,31.51,18.66
Bukit Batok,21,15,32.46,43.24,4.29,17.64,19.05
Newton,54,21,32.25,220.85,4.56,23.22,35.19
Bukit Timah,39,23,32.16,83.8,4.76,25.11,41.03
Ang Mo Kio,17,12,29.74,75.4,4.73,17.12,17.65
Choa Chu Kang,18,11,27.97,42.6,4.79,32.51,0.0
Woodlands,20,14,25.66,32.76,4.75,31.71,5.0
Bishan,17,11,25.06,126.15,4.39,36.37,29.41
Tampines,25,12,24.78,44.56,4.7,34.59,24.0
Jurong West,40,26,24.1,38.79,4.69,26.56,10.0
Punggol,10,10,23.83,41.66,4.92,35.18,10.0
Yishun,12,9,19.36,30.86,4.52,20.41,0.0
