asset_name,asset_type,relative_path,size_kb
01_dataset_understanding.ipynb,ipynb,notebooks\01_dataset_understanding.ipynb,267.67
02_eda.ipynb,ipynb,notebooks\02_eda.ipynb,668.8
03_statistical_analysis.ipynb,ipynb,notebooks\03_statistical_analysis.ipynb,167.32
ai_prompts_appendix.md,md,docs\ai_prompts_appendix.md,4.35
ai_usage_disclosure.md,md,docs\ai_usage_disclosure.md,7.52
assumptions.md,md,docs\assumptions.md,1.57
data_dictionary.md,md,docs\data_dictionary.md,1.18
data_lineage.md,md,docs\data_lineage.md,2.28
dataset_sources.md,md,docs\dataset_sources.md,0.57
decision_log.md,md,docs\decision_log.md,2.95
architecture.png,png,docs\architecture.png,333.21
star_schema.png,png,docs\star_schema.png,438.87
01_dashboard_overview.png,png,outputs\charts\dashboards\01_dashboard_overview.png,168.11
02_dashboard_market_analysis.png,png,outputs\charts\dashboards\02_dashboard_market_analysis.png,222.2
03_dashboard_host_analysis.png,png,outputs\charts\dashboards\03_dashboard_host_analysis.png,253.55
04_dashboard_availability.png,png,outputs\charts\dashboards\04_dashboard_availability.png,67.68
05_dashboard_map.png,png,outputs\charts\dashboards\05_dashboard_map.png,468.42
06_dashboard_data_quality.png,png,outputs\charts\dashboards\06_dashboard_data_quality.png,225.75
01_price_distribution.png,png,outputs\charts\eda\01_price_distribution.png,94.35
02_median_price_by_room_type.png,png,outputs\charts\eda\02_median_price_by_room_type.png,82.88
03_top_neighbourhoods_by_median_price.png,png,outputs\charts\eda\03_top_neighbourhoods_by_median_price.png,132.92
04_listings_by_host_segment.png,png,outputs\charts\eda\04_listings_by_host_segment.png,87.52
05_host_market_concentration.png,png,outputs\charts\eda\05_host_market_concentration.png,123.88
06_neighbourhood_occupancy_proxy.png,png,outputs\charts\eda\06_neighbourhood_occupancy_proxy.png,132.94
07_review_count_vs_price.png,png,outputs\charts\eda\07_review_count_vs_price.png,425.95
08_monthly_review_activity.png,png,outputs\charts\eda\08_monthly_review_activity.png,187.81
09_monthly_occupancy_proxy.png,png,outputs\charts\eda\09_monthly_occupancy_proxy.png,158.5
10_geographic_listing_density.png,png,outputs\charts\eda\10_geographic_listing_density.png,277.68
01_entire_home_vs_private_room_price.png,png,outputs\charts\statistics\01_entire_home_vs_private_room_price.png,85.93
02_superhost_vs_non_superhost_rating.png,png,outputs\charts\statistics\02_superhost_vs_non_superhost_rating.png,79.13
03_price_by_review_volume.png,png,outputs\charts\statistics\03_price_by_review_volume.png,87.81
